source_id	subject_id	session_id	bold_num	t1w_num	t2w_num	bold_size	t1w_size	bold_duration_total	bold_duration_mean	bold_voxels_total	bold_voxels_mean	datatypes
ds005256	sub-0001	ses-01	4	1	0	2337604371	14042188	n/a	n/a	n/a	n/a	anat,dwi,fmap,func
ds005256	sub-0001	ses-02	11	0	0	5958374230	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0001	ses-03	4	0	0	2553688322	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0001	ses-04	4	0	0	2427120679	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0002	ses-01	10	1	0	4936343253	13982161	n/a	n/a	n/a	n/a	anat,dwi,fmap,func
ds005256	sub-0002	ses-02	11	0	0	5722511755	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0002	ses-03	9	0	0	4644551413	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0002	ses-04	10	0	0	4823823159	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0003	ses-01	10	1	0	5076339502	15094947	n/a	n/a	n/a	n/a	anat,dwi,fmap,func
ds005256	sub-0003	ses-02	11	0	0	6027977451	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0003	ses-03	4	0	0	2648387151	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0003	ses-04	4	0	0	2394519959	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0004	ses-01	10	1	0	5112161331	15676978	n/a	n/a	n/a	n/a	anat,dwi,fmap,func
ds005256	sub-0004	ses-02	11	0	0	6110479651	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0004	ses-03	4	0	0	2575836513	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0004	ses-04	4	0	0	2440381550	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0005	ses-01	10	1	0	5118317054	16199936	n/a	n/a	n/a	n/a	anat,dwi,fmap,func
ds005256	sub-0005	ses-02	11	0	0	6182556498	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0005	ses-03	10	0	0	5348930348	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0005	ses-04	10	0	0	5178817885	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0006	ses-01	10	1	0	5151805079	15934759	n/a	n/a	n/a	n/a	anat,dwi,fmap,func
ds005256	sub-0006	ses-02	11	0	0	6121429079	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0006	ses-03	10	0	0	5449852228	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0006	ses-04	10	0	0	3816483436	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0007	ses-01	10	1	0	4940454660	14426195	n/a	n/a	n/a	n/a	anat,dwi,fmap,func
ds005256	sub-0007	ses-02	11	0	0	5930624669	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0007	ses-03	9	0	0	4775554288	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0007	ses-04	0	0	0	0	0	n/a	n/a	n/a	n/a	func
ds005256	sub-0008	ses-01	10	1	0	4945132734	14726902	n/a	n/a	n/a	n/a	anat,dwi,fmap,func
ds005256	sub-0008	ses-02	11	0	0	6001669710	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0008	ses-03	10	0	0	5184013714	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0008	ses-04	10	0	0	4890235484	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0009	ses-01	9	1	0	4403953345	15337574	n/a	n/a	n/a	n/a	anat,dwi,fmap,func
ds005256	sub-0009	ses-02	11	0	0	6137892545	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0009	ses-03	10	0	0	5223850523	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0009	ses-04	10	0	0	5075740143	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0010	ses-01	10	1	0	5002251269	12426196	n/a	n/a	n/a	n/a	anat,dwi,fmap,func
ds005256	sub-0010	ses-02	11	0	0	6146618518	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0010	ses-03	10	0	0	5227623625	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0010	ses-04	10	0	0	5031284032	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0011	ses-01	10	1	0	4809498974	13547997	n/a	n/a	n/a	n/a	anat,dwi,fmap,func
ds005256	sub-0011	ses-02	11	0	0	5798211201	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0011	ses-03	9	0	0	4459248294	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0011	ses-04	10	0	0	4901441365	0	n/a	n/a	n/a	n/a	fmap,func
ds005256	sub-0013	ses-01	10	1	0	4924252123	14648769	n/a	n/a	n/a	n/a	anat,dwi,fmap,func
